Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.63
Num success 0/30 | Episode Length 50.00
Num success 3/30 | Episode Length 46.03
Num success 0/30 | Episode Length 50.00
Num success 10/30 | Episode Length 38.00
Num success 14/30 | Episode Length 34.50
Num success 24/30 | Episode Length 23.10
Num success 22/30 | Episode Length 23.93
Num success 25/30 | Episode Length 20.30
Num success 22/30 | Episode Length 23.47
Num success 28/30 | Episode Length 18.93
Num success 22/30 | Episode Length 23.70
Num success 23/30 | Episode Length 23.67
Num success 24/30 | Episode Length 21.53
Num success 26/30 | Episode Length 20.17
Num success 27/30 | Episode Length 17.80
Num success 26/30 | Episode Length 17.77
Num success 28/30 | Episode Length 20.60
Num success 28/30 | Episode Length 16.87
Num success 29/30 | Episode Length 14.93
Num success 27/30 | Episode Length 16.23
Num success 26/30 | Episode Length 20.37
Num success 27/30 | Episode Length 18.03
Num success 29/30 | Episode Length 15.57
Num success 28/30 | Episode Length 16.63
Num success 27/30 | Episode Length 17.60
Num success 28/30 | Episode Length 17.63
Num success 26/30 | Episode Length 18.57
Num success 25/30 | Episode Length 19.70
Num success 27/30 | Episode Length 15.70
Num success 27/30 | Episode Length 16.17
Num success 28/30 | Episode Length 18.10
Num success 30/30 | Episode Length 14.10
Num success 26/30 | Episode Length 17.97
Num success 25/30 | Episode Length 20.87
Num success 29/30 | Episode Length 17.67
Num success 27/30 | Episode Length 18.03
Num success 28/30 | Episode Length 15.57
Num success 28/30 | Episode Length 16.10
Num success 28/30 | Episode Length 16.70
Num success 29/30 | Episode Length 14.73
Num success 26/30 | Episode Length 19.57
Num success 30/30 | Episode Length 14.43
Num success 30/30 | Episode Length 14.00
Num success 29/30 | Episode Length 13.70
Num success 28/30 | Episode Length 15.77
Num success 28/30 | Episode Length 15.77
Num success 26/30 | Episode Length 19.07
Num success 28/30 | Episode Length 16.97
Num success 29/30 | Episode Length 15.60
Num success 30/30 | Episode Length 13.63
Num success 29/30 | Episode Length 13.77
Num success 27/30 | Episode Length 16.47
Num success 29/30 | Episode Length 14.80
Num success 28/30 | Episode Length 16.40
Num success 29/30 | Episode Length 14.20
Num success 30/30 | Episode Length 12.37
Num success 28/30 | Episode Length 15.27
Num success 30/30 | Episode Length 12.77
Num success 27/30 | Episode Length 17.27
Num success 27/30 | Episode Length 18.33
Num success 29/30 | Episode Length 15.50
Num success 27/30 | Episode Length 15.53
Num success 29/30 | Episode Length 13.83
Num success 30/30 | Episode Length 12.77
Num success 29/30 | Episode Length 15.33
Num success 30/30 | Episode Length 12.03
Num success 28/30 | Episode Length 15.27
Num success 29/30 | Episode Length 15.60
Num success 30/30 | Episode Length 12.53
Num success 30/30 | Episode Length 13.43
Num success 29/30 | Episode Length 13.13
Num success 28/30 | Episode Length 15.33
Num success 28/30 | Episode Length 16.33
Num success 28/30 | Episode Length 14.27
Num success 30/30 | Episode Length 12.83
Num success 30/30 | Episode Length 13.03
Num success 29/30 | Episode Length 14.57
Num success 30/30 | Episode Length 13.10
Num success 28/30 | Episode Length 16.57
Num success 30/30 | Episode Length 12.60
Num success 28/30 | Episode Length 17.40
Num success 27/30 | Episode Length 16.90
Num success 28/30 | Episode Length 14.63
Num success 29/30 | Episode Length 13.90
Num success 30/30 | Episode Length 12.50
Num success 29/30 | Episode Length 13.13
Num success 30/30 | Episode Length 13.27
Num success 26/30 | Episode Length 16.97
Num success 28/30 | Episode Length 16.60
Num success 28/30 | Episode Length 15.73
Num success 29/30 | Episode Length 13.67
Num success 27/30 | Episode Length 17.13
Num success 28/30 | Episode Length 16.27
Num success 29/30 | Episode Length 12.83
Num success 26/30 | Episode Length 19.33
