Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.93
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.63
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.73
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.53
Num success 1/30 | Episode Length 48.90
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.67
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 49.00
Num success 1/30 | Episode Length 48.63
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.63
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.93
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.70
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.80
Num success 1/30 | Episode Length 49.27
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.70
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 49.20
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 49.00
Num success 1/30 | Episode Length 48.80
Num success 1/30 | Episode Length 49.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.80
Num success 1/30 | Episode Length 49.10
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.87
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 49.43
Num success 0/30 | Episode Length 50.00
Num success 2/30 | Episode Length 47.70
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.83
Num success 1/30 | Episode Length 48.77
Num success 1/30 | Episode Length 48.97
Num success 1/30 | Episode Length 48.67
Num success 1/30 | Episode Length 48.97
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.70
Num success 3/30 | Episode Length 46.50
Num success 1/30 | Episode Length 48.70
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.90
Num success 1/30 | Episode Length 48.73
Num success 1/30 | Episode Length 48.77
Num success 2/30 | Episode Length 47.47
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.97
Num success 2/30 | Episode Length 47.30
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.97
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.60
Num success 2/30 | Episode Length 47.73
Num success 1/30 | Episode Length 49.30
Num success 1/30 | Episode Length 49.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 49.20
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.70
Num success 0/30 | Episode Length 50.00
Num success 2/30 | Episode Length 47.90
Num success 0/30 | Episode Length 50.00
Num success 2/30 | Episode Length 47.33
Num success 3/30 | Episode Length 46.90
Num success 1/30 | Episode Length 49.13
Num success 0/30 | Episode Length 50.00
Num success 4/30 | Episode Length 46.00
Num success 1/30 | Episode Length 48.77
Num success 1/30 | Episode Length 48.87
Num success 0/30 | Episode Length 50.00
Num success 2/30 | Episode Length 47.77
Num success 2/30 | Episode Length 48.30
Num success 2/30 | Episode Length 47.50
Num success 1/30 | Episode Length 48.80
Num success 1/30 | Episode Length 48.67
Num success 1/30 | Episode Length 48.97
Num success 0/30 | Episode Length 50.00
Num success 3/30 | Episode Length 46.07
Num success 1/30 | Episode Length 48.67
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 2/30 | Episode Length 47.43
Num success 1/30 | Episode Length 49.03
Num success 2/30 | Episode Length 47.57
Num success 3/30 | Episode Length 46.27
Num success 2/30 | Episode Length 47.70
Num success 1/30 | Episode Length 48.93
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.70
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.63
Num success 0/30 | Episode Length 50.00
Num success 3/30 | Episode Length 46.77
Num success 2/30 | Episode Length 47.43
Num success 1/30 | Episode Length 48.77
Num success 1/30 | Episode Length 48.73
Num success 1/30 | Episode Length 48.77
Num success 5/30 | Episode Length 45.17
Num success 0/30 | Episode Length 50.00
Num success 3/30 | Episode Length 46.33
Num success 1/30 | Episode Length 48.93
Num success 0/30 | Episode Length 50.00
Num success 2/30 | Episode Length 47.43
Num success 3/30 | Episode Length 46.20
Num success 2/30 | Episode Length 47.63
Num success 2/30 | Episode Length 48.00
Num success 1/30 | Episode Length 49.00
Num success 3/30 | Episode Length 46.03
Num success 1/30 | Episode Length 48.77
Num success 4/30 | Episode Length 46.43
Num success 5/30 | Episode Length 43.87
Num success 2/30 | Episode Length 48.10
Num success 2/30 | Episode Length 47.77
Num success 1/30 | Episode Length 48.60
Num success 2/30 | Episode Length 48.60
Num success 1/30 | Episode Length 49.17
Num success 2/30 | Episode Length 47.70
Num success 2/30 | Episode Length 47.63
Num success 3/30 | Episode Length 46.13
Num success 4/30 | Episode Length 45.80
Num success 5/30 | Episode Length 44.10
Num success 0/30 | Episode Length 50.00
Num success 2/30 | Episode Length 47.43
Num success 3/30 | Episode Length 46.37
Num success 2/30 | Episode Length 47.97
Num success 2/30 | Episode Length 47.40
Num success 0/30 | Episode Length 50.00
Num success 3/30 | Episode Length 46.73
Num success 4/30 | Episode Length 45.33
Num success 3/30 | Episode Length 46.17
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.60
Num success 2/30 | Episode Length 47.33
Num success 5/30 | Episode Length 44.17
Num success 2/30 | Episode Length 47.40
Num success 1/30 | Episode Length 49.00
Num success 2/30 | Episode Length 47.37
Num success 1/30 | Episode Length 48.80
Num success 5/30 | Episode Length 45.57
Num success 10/30 | Episode Length 38.13
Num success 6/30 | Episode Length 42.77
Num success 6/30 | Episode Length 42.90
Num success 4/30 | Episode Length 45.77
Num success 3/30 | Episode Length 46.60
Num success 6/30 | Episode Length 43.60
Num success 2/30 | Episode Length 47.73
Num success 7/30 | Episode Length 41.93
Num success 5/30 | Episode Length 43.67
Num success 3/30 | Episode Length 46.73
Num success 3/30 | Episode Length 46.80
Num success 6/30 | Episode Length 43.10
Num success 9/30 | Episode Length 42.00
Num success 6/30 | Episode Length 43.43
Num success 7/30 | Episode Length 43.73
Num success 3/30 | Episode Length 46.53
Num success 4/30 | Episode Length 45.20
Num success 13/30 | Episode Length 35.27
Num success 10/30 | Episode Length 39.00
Num success 10/30 | Episode Length 39.57
Num success 12/30 | Episode Length 35.60
Num success 15/30 | Episode Length 33.97
Num success 12/30 | Episode Length 37.27
Num success 18/30 | Episode Length 30.87
Num success 19/30 | Episode Length 30.30
Num success 16/30 | Episode Length 31.33
Num success 19/30 | Episode Length 29.27
Num success 17/30 | Episode Length 34.33
Num success 16/30 | Episode Length 32.67
Num success 19/30 | Episode Length 28.00
Num success 19/30 | Episode Length 28.53
Num success 26/30 | Episode Length 20.43
Num success 16/30 | Episode Length 31.30
Num success 21/30 | Episode Length 24.73
Num success 20/30 | Episode Length 27.67
Num success 19/30 | Episode Length 30.03
Num success 26/30 | Episode Length 19.80
Num success 16/30 | Episode Length 33.73
Num success 19/30 | Episode Length 29.80
Num success 21/30 | Episode Length 25.90
Num success 20/30 | Episode Length 25.73
Num success 24/30 | Episode Length 22.37
Num success 19/30 | Episode Length 29.17
Num success 24/30 | Episode Length 22.27
Num success 23/30 | Episode Length 24.57
Num success 21/30 | Episode Length 25.23
Num success 18/30 | Episode Length 27.27
Num success 24/30 | Episode Length 21.43
Num success 26/30 | Episode Length 20.13
Num success 20/30 | Episode Length 27.23
Num success 23/30 | Episode Length 24.00
Num success 21/30 | Episode Length 25.90
Num success 25/30 | Episode Length 20.70
Num success 25/30 | Episode Length 21.17
Num success 23/30 | Episode Length 22.17
Num success 23/30 | Episode Length 22.57
Num success 27/30 | Episode Length 17.97
Num success 23/30 | Episode Length 22.13
Num success 25/30 | Episode Length 19.83
Num success 23/30 | Episode Length 23.03
Num success 25/30 | Episode Length 19.30
Num success 28/30 | Episode Length 17.10
Num success 25/30 | Episode Length 20.67
Num success 26/30 | Episode Length 18.73
Num success 23/30 | Episode Length 21.10
Num success 23/30 | Episode Length 21.80
Num success 27/30 | Episode Length 17.73
Num success 24/30 | Episode Length 22.30
Num success 26/30 | Episode Length 19.30
Num success 22/30 | Episode Length 21.97
Num success 28/30 | Episode Length 15.23
Num success 29/30 | Episode Length 16.43
Num success 25/30 | Episode Length 19.43
Num success 24/30 | Episode Length 22.07
Num success 27/30 | Episode Length 14.47
Num success 27/30 | Episode Length 16.83
Num success 25/30 | Episode Length 21.10
Num success 24/30 | Episode Length 21.27
Num success 25/30 | Episode Length 19.70
Num success 27/30 | Episode Length 18.00
Num success 29/30 | Episode Length 14.93
Num success 27/30 | Episode Length 16.70
Num success 27/30 | Episode Length 18.00
Num success 28/30 | Episode Length 18.83
Num success 29/30 | Episode Length 14.87
Num success 27/30 | Episode Length 15.97
Num success 24/30 | Episode Length 21.53
Num success 28/30 | Episode Length 16.67
Num success 26/30 | Episode Length 17.93
Num success 25/30 | Episode Length 17.70
Num success 28/30 | Episode Length 17.33
Num success 29/30 | Episode Length 14.23
Num success 26/30 | Episode Length 18.87
Num success 27/30 | Episode Length 16.87
Num success 28/30 | Episode Length 17.10
Num success 27/30 | Episode Length 15.80
Num success 24/30 | Episode Length 24.30
Num success 27/30 | Episode Length 17.73
Num success 27/30 | Episode Length 17.53
Num success 29/30 | Episode Length 13.17
Num success 23/30 | Episode Length 20.37
Num success 28/30 | Episode Length 14.07
Num success 27/30 | Episode Length 16.87
Num success 27/30 | Episode Length 16.33
Num success 27/30 | Episode Length 16.20
Num success 26/30 | Episode Length 18.13
