Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 49.13
Num success 1/30 | Episode Length 49.40
Num success 2/30 | Episode Length 48.03
Num success 10/30 | Episode Length 38.20
Num success 4/30 | Episode Length 45.23
Num success 21/30 | Episode Length 26.53
Num success 26/30 | Episode Length 17.80
Num success 30/30 | Episode Length 13.43
Num success 26/30 | Episode Length 15.93
Num success 30/30 | Episode Length 13.23
Num success 30/30 | Episode Length 11.90
Num success 30/30 | Episode Length 11.27
Num success 30/30 | Episode Length 11.83
Num success 30/30 | Episode Length 11.37
Num success 30/30 | Episode Length 11.40
Num success 30/30 | Episode Length 10.83
Num success 30/30 | Episode Length 10.43
Num success 30/30 | Episode Length 11.17
Num success 30/30 | Episode Length 11.27
Num success 30/30 | Episode Length 10.77
Num success 30/30 | Episode Length 10.77
Num success 30/30 | Episode Length 10.47
Num success 30/30 | Episode Length 11.40
Num success 30/30 | Episode Length 11.17
Num success 29/30 | Episode Length 12.40
Num success 29/30 | Episode Length 12.37
Num success 30/30 | Episode Length 10.93
Num success 30/30 | Episode Length 11.13
Num success 30/30 | Episode Length 10.33
Num success 30/30 | Episode Length 10.17
Num success 30/30 | Episode Length 10.53
Num success 30/30 | Episode Length 10.53
Num success 30/30 | Episode Length 11.03
Num success 30/30 | Episode Length 10.97
Num success 30/30 | Episode Length 10.73
Num success 30/30 | Episode Length 10.73
Num success 30/30 | Episode Length 10.77
Num success 30/30 | Episode Length 10.43
Num success 30/30 | Episode Length 10.57
Num success 30/30 | Episode Length 10.57
Num success 30/30 | Episode Length 10.27
Num success 30/30 | Episode Length 10.23
Num success 30/30 | Episode Length 11.83
Num success 30/30 | Episode Length 10.87
Num success 30/30 | Episode Length 11.17
Num success 30/30 | Episode Length 10.60
Num success 30/30 | Episode Length 10.90
Num success 30/30 | Episode Length 10.80
Num success 30/30 | Episode Length 11.77
Num success 30/30 | Episode Length 11.17
Num success 30/30 | Episode Length 11.50
Num success 30/30 | Episode Length 10.40
Num success 30/30 | Episode Length 11.27
Num success 30/30 | Episode Length 10.77
Num success 30/30 | Episode Length 11.03
Num success 30/30 | Episode Length 10.17
Num success 30/30 | Episode Length 10.97
Num success 30/30 | Episode Length 11.17
Num success 30/30 | Episode Length 10.40
Num success 30/30 | Episode Length 10.50
Num success 30/30 | Episode Length 10.87
Num success 30/30 | Episode Length 10.87
Num success 30/30 | Episode Length 10.93
Num success 30/30 | Episode Length 10.43
Num success 30/30 | Episode Length 10.77
Num success 30/30 | Episode Length 10.13
Num success 30/30 | Episode Length 10.20
Num success 30/30 | Episode Length 10.80
Num success 30/30 | Episode Length 10.87
Num success 30/30 | Episode Length 11.10
Num success 30/30 | Episode Length 11.07
Num success 30/30 | Episode Length 11.27
Num success 30/30 | Episode Length 12.03
Num success 30/30 | Episode Length 11.63
Num success 30/30 | Episode Length 9.70
Num success 30/30 | Episode Length 10.43
Num success 30/30 | Episode Length 10.90
Num success 30/30 | Episode Length 10.63
Num success 30/30 | Episode Length 10.97
Num success 30/30 | Episode Length 10.33
Num success 30/30 | Episode Length 10.47
Num success 30/30 | Episode Length 10.67
Num success 30/30 | Episode Length 10.90
Num success 30/30 | Episode Length 10.80
Num success 30/30 | Episode Length 11.47
Num success 30/30 | Episode Length 10.20
Num success 30/30 | Episode Length 9.77
Num success 30/30 | Episode Length 10.60
Num success 30/30 | Episode Length 9.67
Num success 30/30 | Episode Length 10.10
Num success 30/30 | Episode Length 10.50
Num success 30/30 | Episode Length 10.47
Num success 30/30 | Episode Length 10.87
Num success 30/30 | Episode Length 12.27
Num success 30/30 | Episode Length 10.53
