Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.70
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.80
Num success 2/30 | Episode Length 47.53
Num success 3/30 | Episode Length 46.40
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.80
Num success 2/30 | Episode Length 47.60
Num success 2/30 | Episode Length 47.60
Num success 1/30 | Episode Length 48.73
Num success 0/30 | Episode Length 50.00
Num success 5/30 | Episode Length 44.80
Num success 11/30 | Episode Length 38.07
Num success 16/30 | Episode Length 31.83
Num success 28/30 | Episode Length 16.87
Num success 30/30 | Episode Length 13.40
Num success 29/30 | Episode Length 15.03
Num success 29/30 | Episode Length 14.63
Num success 28/30 | Episode Length 16.40
Num success 30/30 | Episode Length 12.63
Num success 30/30 | Episode Length 12.40
Num success 28/30 | Episode Length 14.27
Num success 30/30 | Episode Length 12.03
Num success 30/30 | Episode Length 12.37
Num success 30/30 | Episode Length 12.33
Num success 30/30 | Episode Length 12.63
Num success 30/30 | Episode Length 12.97
Num success 30/30 | Episode Length 12.07
Num success 30/30 | Episode Length 12.37
Num success 30/30 | Episode Length 12.63
Num success 30/30 | Episode Length 11.77
Num success 30/30 | Episode Length 12.30
Num success 30/30 | Episode Length 12.50
Num success 29/30 | Episode Length 14.30
Num success 30/30 | Episode Length 11.13
Num success 30/30 | Episode Length 12.90
Num success 30/30 | Episode Length 11.70
Num success 29/30 | Episode Length 12.80
Num success 30/30 | Episode Length 11.70
Num success 30/30 | Episode Length 12.60
Num success 30/30 | Episode Length 11.87
Num success 30/30 | Episode Length 11.50
Num success 30/30 | Episode Length 11.60
Num success 30/30 | Episode Length 11.57
Num success 30/30 | Episode Length 11.57
Num success 30/30 | Episode Length 11.67
Num success 30/30 | Episode Length 11.97
Num success 30/30 | Episode Length 12.53
Num success 30/30 | Episode Length 12.23
Num success 30/30 | Episode Length 11.83
Num success 30/30 | Episode Length 11.97
Num success 30/30 | Episode Length 11.57
Num success 29/30 | Episode Length 13.17
Num success 30/30 | Episode Length 11.97
Num success 30/30 | Episode Length 11.10
Num success 30/30 | Episode Length 11.47
Num success 30/30 | Episode Length 11.77
Num success 30/30 | Episode Length 11.37
Num success 30/30 | Episode Length 11.27
Num success 30/30 | Episode Length 11.87
Num success 30/30 | Episode Length 12.00
Num success 30/30 | Episode Length 11.40
Num success 30/30 | Episode Length 10.77
Num success 30/30 | Episode Length 11.10
Num success 30/30 | Episode Length 11.77
Num success 30/30 | Episode Length 11.43
Num success 30/30 | Episode Length 11.63
Num success 30/30 | Episode Length 11.90
Num success 30/30 | Episode Length 11.33
Num success 30/30 | Episode Length 11.93
Num success 30/30 | Episode Length 10.90
Num success 30/30 | Episode Length 11.57
Num success 30/30 | Episode Length 11.87
Num success 29/30 | Episode Length 12.40
Num success 30/30 | Episode Length 11.77
Num success 30/30 | Episode Length 11.77
Num success 30/30 | Episode Length 11.27
Num success 30/30 | Episode Length 11.47
Num success 30/30 | Episode Length 11.23
Num success 30/30 | Episode Length 11.70
Num success 30/30 | Episode Length 11.97
Num success 29/30 | Episode Length 12.53
Num success 30/30 | Episode Length 11.33
Num success 30/30 | Episode Length 11.03
Num success 30/30 | Episode Length 11.40
Num success 30/30 | Episode Length 11.00
Num success 30/30 | Episode Length 11.47
Num success 30/30 | Episode Length 11.50
Num success 30/30 | Episode Length 11.37
Num success 30/30 | Episode Length 12.27
Num success 30/30 | Episode Length 11.03
Num success 30/30 | Episode Length 11.73
Num success 30/30 | Episode Length 12.00
Num success 30/30 | Episode Length 11.37
Num success 30/30 | Episode Length 11.17
Num success 30/30 | Episode Length 11.63
Num success 30/30 | Episode Length 11.20
Num success 30/30 | Episode Length 11.30
Num success 30/30 | Episode Length 10.97
Num success 30/30 | Episode Length 11.70
Num success 30/30 | Episode Length 11.77
Num success 29/30 | Episode Length 12.47
Num success 30/30 | Episode Length 11.07
Num success 30/30 | Episode Length 12.13
Num success 30/30 | Episode Length 11.37
Num success 30/30 | Episode Length 11.57
Num success 30/30 | Episode Length 12.10
Num success 30/30 | Episode Length 12.17
Num success 30/30 | Episode Length 12.03
Num success 30/30 | Episode Length 11.17
