Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 2/30 | Episode Length 47.70
Num success 27/30 | Episode Length 18.93
Num success 30/30 | Episode Length 12.53
Num success 30/30 | Episode Length 11.73
Num success 30/30 | Episode Length 11.33
Num success 30/30 | Episode Length 10.37
Num success 30/30 | Episode Length 11.03
Num success 30/30 | Episode Length 10.30
Num success 30/30 | Episode Length 10.27
Num success 30/30 | Episode Length 10.97
Num success 30/30 | Episode Length 10.00
Num success 30/30 | Episode Length 10.13
Num success 30/30 | Episode Length 10.80
Num success 30/30 | Episode Length 10.43
Num success 30/30 | Episode Length 9.90
Num success 30/30 | Episode Length 9.50
Num success 30/30 | Episode Length 10.37
Num success 30/30 | Episode Length 10.50
Num success 30/30 | Episode Length 10.30
Num success 30/30 | Episode Length 10.53
Num success 30/30 | Episode Length 10.83
Num success 30/30 | Episode Length 9.77
Num success 30/30 | Episode Length 10.53
