Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 2/30 | Episode Length 47.40
Num success 1/30 | Episode Length 48.73
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.70
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.93
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.70
Num success 2/30 | Episode Length 47.70
Num success 2/30 | Episode Length 47.87
Num success 7/30 | Episode Length 42.03
Num success 14/30 | Episode Length 34.37
Num success 20/30 | Episode Length 27.07
Num success 22/30 | Episode Length 24.43
Num success 26/30 | Episode Length 17.93
Num success 27/30 | Episode Length 16.27
Num success 29/30 | Episode Length 13.70
Num success 29/30 | Episode Length 14.83
Num success 28/30 | Episode Length 14.60
Num success 30/30 | Episode Length 12.10
Num success 30/30 | Episode Length 11.70
Num success 27/30 | Episode Length 15.60
Num success 30/30 | Episode Length 10.87
Num success 30/30 | Episode Length 11.27
Num success 30/30 | Episode Length 10.93
Num success 30/30 | Episode Length 11.60
Num success 30/30 | Episode Length 11.13
Num success 30/30 | Episode Length 11.00
Num success 30/30 | Episode Length 11.23
Num success 30/30 | Episode Length 10.83
Num success 30/30 | Episode Length 11.17
Num success 30/30 | Episode Length 10.53
Num success 30/30 | Episode Length 10.13
Num success 30/30 | Episode Length 12.10
Num success 30/30 | Episode Length 9.90
Num success 30/30 | Episode Length 10.10
Num success 30/30 | Episode Length 9.43
Num success 30/30 | Episode Length 11.27
Num success 30/30 | Episode Length 10.33
Num success 30/30 | Episode Length 9.97
Num success 30/30 | Episode Length 10.23
Num success 30/30 | Episode Length 9.70
Num success 30/30 | Episode Length 10.83
Num success 30/30 | Episode Length 10.27
Num success 30/30 | Episode Length 10.97
Num success 30/30 | Episode Length 11.20
Num success 30/30 | Episode Length 9.33
Num success 30/30 | Episode Length 10.70
Num success 30/30 | Episode Length 11.07
Num success 30/30 | Episode Length 10.57
Num success 30/30 | Episode Length 9.57
Num success 30/30 | Episode Length 10.77
Num success 30/30 | Episode Length 9.33
Num success 30/30 | Episode Length 10.13
Num success 30/30 | Episode Length 9.57
Num success 30/30 | Episode Length 10.20
Num success 30/30 | Episode Length 11.20
Num success 30/30 | Episode Length 10.20
Num success 29/30 | Episode Length 11.13
Num success 30/30 | Episode Length 10.03
Num success 30/30 | Episode Length 9.27
Num success 30/30 | Episode Length 9.77
Num success 30/30 | Episode Length 9.17
Num success 30/30 | Episode Length 10.40
Num success 30/30 | Episode Length 10.17
Num success 30/30 | Episode Length 10.17
Num success 30/30 | Episode Length 10.27
Num success 30/30 | Episode Length 9.37
Num success 30/30 | Episode Length 9.63
Num success 30/30 | Episode Length 10.30
Num success 30/30 | Episode Length 10.53
Num success 30/30 | Episode Length 9.67
Num success 30/30 | Episode Length 9.40
Num success 30/30 | Episode Length 9.20
Num success 29/30 | Episode Length 11.63
