Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 49.03
Num success 0/30 | Episode Length 50.00
Num success 2/30 | Episode Length 47.57
Num success 6/30 | Episode Length 42.23
Num success 19/30 | Episode Length 29.27
Num success 29/30 | Episode Length 15.50
Num success 29/30 | Episode Length 17.30
Num success 29/30 | Episode Length 15.23
Num success 29/30 | Episode Length 15.37
Num success 29/30 | Episode Length 13.83
Num success 30/30 | Episode Length 14.70
Num success 29/30 | Episode Length 15.83
Num success 30/30 | Episode Length 13.13
Num success 28/30 | Episode Length 16.20
Num success 29/30 | Episode Length 14.13
Num success 29/30 | Episode Length 16.13
Num success 28/30 | Episode Length 17.07
Num success 30/30 | Episode Length 14.20
Num success 29/30 | Episode Length 17.17
Num success 30/30 | Episode Length 12.67
Num success 27/30 | Episode Length 17.90
Num success 30/30 | Episode Length 14.23
Num success 30/30 | Episode Length 13.10
Num success 30/30 | Episode Length 11.50
Num success 29/30 | Episode Length 14.30
Num success 29/30 | Episode Length 13.47
Num success 30/30 | Episode Length 11.73
Num success 29/30 | Episode Length 14.30
Num success 30/30 | Episode Length 12.33
Num success 30/30 | Episode Length 11.00
Num success 30/30 | Episode Length 11.37
Num success 30/30 | Episode Length 12.57
Num success 29/30 | Episode Length 12.83
Num success 30/30 | Episode Length 11.70
Num success 30/30 | Episode Length 14.83
Num success 30/30 | Episode Length 12.50
