Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 2/30 | Episode Length 47.50
Num success 17/30 | Episode Length 31.07
Num success 30/30 | Episode Length 13.23
Num success 29/30 | Episode Length 14.10
Num success 30/30 | Episode Length 14.00
Num success 29/30 | Episode Length 12.53
Num success 30/30 | Episode Length 10.93
Num success 30/30 | Episode Length 11.07
Num success 30/30 | Episode Length 12.27
Num success 30/30 | Episode Length 10.93
Num success 30/30 | Episode Length 12.13
Num success 30/30 | Episode Length 11.80
Num success 30/30 | Episode Length 11.93
Num success 30/30 | Episode Length 11.30
Num success 30/30 | Episode Length 11.43
Num success 30/30 | Episode Length 11.77
Num success 30/30 | Episode Length 11.43
Num success 30/30 | Episode Length 11.87
Num success 30/30 | Episode Length 12.07
Num success 30/30 | Episode Length 11.17
Num success 30/30 | Episode Length 11.57
Num success 30/30 | Episode Length 10.40
Num success 30/30 | Episode Length 11.03
Num success 30/30 | Episode Length 11.93
Num success 30/30 | Episode Length 10.80
Num success 30/30 | Episode Length 11.07
Num success 30/30 | Episode Length 9.90
Num success 30/30 | Episode Length 12.07
Num success 30/30 | Episode Length 10.60
Num success 30/30 | Episode Length 10.93
Num success 30/30 | Episode Length 11.07
Num success 30/30 | Episode Length 10.73
Num success 30/30 | Episode Length 10.43
Num success 30/30 | Episode Length 10.30
Num success 30/30 | Episode Length 10.97
Num success 30/30 | Episode Length 10.87
Num success 30/30 | Episode Length 10.53
Num success 30/30 | Episode Length 10.00
Num success 30/30 | Episode Length 10.90
Num success 30/30 | Episode Length 10.90
Num success 30/30 | Episode Length 11.40
Num success 30/30 | Episode Length 10.27
Num success 30/30 | Episode Length 11.07
Num success 30/30 | Episode Length 10.70
Num success 30/30 | Episode Length 10.80
Num success 30/30 | Episode Length 10.43
Num success 30/30 | Episode Length 10.30
Num success 30/30 | Episode Length 10.97
Num success 30/30 | Episode Length 11.60
Num success 30/30 | Episode Length 10.03
Num success 30/30 | Episode Length 10.23
Num success 30/30 | Episode Length 10.90
Num success 30/30 | Episode Length 10.77
Num success 30/30 | Episode Length 10.40
Num success 30/30 | Episode Length 10.20
Num success 30/30 | Episode Length 11.73
Num success 30/30 | Episode Length 11.07
Num success 30/30 | Episode Length 11.47
Num success 30/30 | Episode Length 10.47
Num success 30/30 | Episode Length 11.10
Num success 30/30 | Episode Length 9.83
Num success 30/30 | Episode Length 11.67
Num success 30/30 | Episode Length 10.00
Num success 30/30 | Episode Length 12.40
Num success 30/30 | Episode Length 10.10
Num success 30/30 | Episode Length 11.43
Num success 30/30 | Episode Length 11.00
Num success 30/30 | Episode Length 10.37
Num success 30/30 | Episode Length 10.00
Num success 30/30 | Episode Length 10.33
Num success 30/30 | Episode Length 11.43
Num success 30/30 | Episode Length 10.83
Num success 30/30 | Episode Length 10.37
Num success 30/30 | Episode Length 10.40
Num success 30/30 | Episode Length 10.53
Num success 30/30 | Episode Length 10.80
Num success 30/30 | Episode Length 10.73
Num success 30/30 | Episode Length 10.63
Num success 30/30 | Episode Length 10.57
Num success 30/30 | Episode Length 10.07
Num success 30/30 | Episode Length 10.60
Num success 30/30 | Episode Length 10.37
Num success 30/30 | Episode Length 10.77
Num success 30/30 | Episode Length 11.57
Num success 30/30 | Episode Length 11.37
