Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.93
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 0/30 | Episode Length 50.00
Num success 1/30 | Episode Length 48.80
Num success 0/30 | Episode Length 50.00
Num success 3/30 | Episode Length 46.07
Num success 1/30 | Episode Length 48.83
Num success 1/30 | Episode Length 48.63
Num success 3/30 | Episode Length 46.20
Num success 4/30 | Episode Length 44.53
Num success 2/30 | Episode Length 47.53
Num success 1/30 | Episode Length 48.67
Num success 5/30 | Episode Length 44.33
Num success 4/30 | Episode Length 45.93
Num success 11/30 | Episode Length 39.20
Num success 12/30 | Episode Length 37.30
Num success 6/30 | Episode Length 45.43
Num success 6/30 | Episode Length 43.40
Num success 13/30 | Episode Length 37.50
Num success 13/30 | Episode Length 40.67
Num success 12/30 | Episode Length 39.83
Num success 22/30 | Episode Length 26.63
Num success 22/30 | Episode Length 29.47
Num success 20/30 | Episode Length 29.93
Num success 26/30 | Episode Length 26.57
Num success 27/30 | Episode Length 23.57
Num success 28/30 | Episode Length 22.77
Num success 24/30 | Episode Length 30.30
Num success 21/30 | Episode Length 28.40
Num success 29/30 | Episode Length 20.40
Num success 27/30 | Episode Length 25.50
Num success 24/30 | Episode Length 24.80
Num success 28/30 | Episode Length 20.77
Num success 22/30 | Episode Length 27.67
Num success 28/30 | Episode Length 20.07
Num success 30/30 | Episode Length 21.27
Num success 29/30 | Episode Length 17.13
Num success 23/30 | Episode Length 25.83
Num success 26/30 | Episode Length 23.47
Num success 28/30 | Episode Length 20.47
Num success 29/30 | Episode Length 19.60
Num success 25/30 | Episode Length 24.87
Num success 28/30 | Episode Length 19.67
Num success 28/30 | Episode Length 24.03
Num success 26/30 | Episode Length 23.40
Num success 28/30 | Episode Length 21.73
Num success 25/30 | Episode Length 22.77
Num success 29/30 | Episode Length 17.10
Num success 28/30 | Episode Length 20.57
Num success 28/30 | Episode Length 22.17
Num success 29/30 | Episode Length 21.20
Num success 28/30 | Episode Length 19.97
Num success 29/30 | Episode Length 19.77
Num success 28/30 | Episode Length 19.87
Num success 28/30 | Episode Length 22.20
Num success 29/30 | Episode Length 17.67
Num success 28/30 | Episode Length 20.13
Num success 29/30 | Episode Length 18.13
Num success 27/30 | Episode Length 21.87
Num success 27/30 | Episode Length 19.50
Num success 28/30 | Episode Length 17.20
Num success 29/30 | Episode Length 19.23
Num success 30/30 | Episode Length 17.63
Num success 30/30 | Episode Length 16.63
Num success 29/30 | Episode Length 16.43
Num success 27/30 | Episode Length 20.47
Num success 28/30 | Episode Length 21.60
Num success 28/30 | Episode Length 19.80
Num success 27/30 | Episode Length 19.70
Num success 29/30 | Episode Length 17.53
Num success 29/30 | Episode Length 18.53
Num success 29/30 | Episode Length 16.67
Num success 28/30 | Episode Length 19.23
Num success 26/30 | Episode Length 20.97
Num success 28/30 | Episode Length 16.17
Num success 29/30 | Episode Length 17.67
Num success 29/30 | Episode Length 16.60
Num success 29/30 | Episode Length 16.23
Num success 28/30 | Episode Length 21.27
Num success 30/30 | Episode Length 18.53
Num success 29/30 | Episode Length 18.07
Num success 30/30 | Episode Length 18.27
Num success 29/30 | Episode Length 18.17
Num success 30/30 | Episode Length 15.87
Num success 30/30 | Episode Length 14.00
Num success 30/30 | Episode Length 16.13
Num success 28/30 | Episode Length 18.70
Num success 25/30 | Episode Length 23.30
Num success 29/30 | Episode Length 16.00
Num success 30/30 | Episode Length 14.87
Num success 29/30 | Episode Length 18.57
Num success 30/30 | Episode Length 15.17
Num success 30/30 | Episode Length 16.83
Num success 29/30 | Episode Length 15.83
Num success 29/30 | Episode Length 18.83
Num success 27/30 | Episode Length 18.17
Num success 30/30 | Episode Length 16.50
Num success 30/30 | Episode Length 16.87
Num success 30/30 | Episode Length 17.33
Num success 29/30 | Episode Length 16.80
Num success 29/30 | Episode Length 14.77
Num success 29/30 | Episode Length 15.93
Num success 29/30 | Episode Length 15.57
Num success 29/30 | Episode Length 15.67
Num success 30/30 | Episode Length 17.13
Num success 30/30 | Episode Length 17.63
Num success 30/30 | Episode Length 14.27
Num success 29/30 | Episode Length 14.77
Num success 25/30 | Episode Length 22.33
Num success 29/30 | Episode Length 17.40
Num success 29/30 | Episode Length 17.50
Num success 28/30 | Episode Length 19.20
Num success 30/30 | Episode Length 14.90
Num success 30/30 | Episode Length 13.30
Num success 30/30 | Episode Length 13.83
Num success 30/30 | Episode Length 14.37
Num success 30/30 | Episode Length 19.57
Num success 29/30 | Episode Length 16.23
Num success 30/30 | Episode Length 12.73
Num success 29/30 | Episode Length 17.63
Num success 30/30 | Episode Length 17.20
Num success 30/30 | Episode Length 16.00
Num success 30/30 | Episode Length 14.43
Num success 30/30 | Episode Length 16.20
Num success 30/30 | Episode Length 14.73
Num success 28/30 | Episode Length 15.20
Num success 30/30 | Episode Length 16.43
Num success 29/30 | Episode Length 13.93
Num success 30/30 | Episode Length 12.23
Num success 30/30 | Episode Length 13.30
Num success 30/30 | Episode Length 15.30
Num success 29/30 | Episode Length 16.33
Num success 30/30 | Episode Length 14.23
Num success 30/30 | Episode Length 14.37
Num success 30/30 | Episode Length 12.97
Num success 30/30 | Episode Length 12.13
Num success 29/30 | Episode Length 15.90
Num success 30/30 | Episode Length 13.53
Num success 30/30 | Episode Length 14.10
Num success 29/30 | Episode Length 17.93
Num success 30/30 | Episode Length 13.47
Num success 29/30 | Episode Length 15.90
Num success 29/30 | Episode Length 15.67
Num success 29/30 | Episode Length 15.70
Num success 28/30 | Episode Length 16.80
Num success 29/30 | Episode Length 15.87
Num success 30/30 | Episode Length 13.63
Num success 30/30 | Episode Length 12.77
Num success 30/30 | Episode Length 11.90
Num success 30/30 | Episode Length 14.00
Num success 30/30 | Episode Length 16.67
Num success 29/30 | Episode Length 14.60
Num success 28/30 | Episode Length 16.73
Num success 30/30 | Episode Length 16.53
Num success 30/30 | Episode Length 14.63
Num success 30/30 | Episode Length 13.43
Num success 30/30 | Episode Length 14.47
Num success 30/30 | Episode Length 14.07
Num success 30/30 | Episode Length 13.37
Num success 30/30 | Episode Length 15.13
Num success 30/30 | Episode Length 13.53
Num success 30/30 | Episode Length 12.97
Num success 30/30 | Episode Length 13.20
Num success 30/30 | Episode Length 17.10
Num success 30/30 | Episode Length 12.67
Num success 30/30 | Episode Length 14.93
Num success 30/30 | Episode Length 15.20
Num success 30/30 | Episode Length 13.87
Num success 29/30 | Episode Length 14.43
Num success 30/30 | Episode Length 13.17
Num success 29/30 | Episode Length 13.97
Num success 30/30 | Episode Length 13.33
Num success 29/30 | Episode Length 14.50
Num success 30/30 | Episode Length 13.43
Num success 30/30 | Episode Length 16.20
Num success 30/30 | Episode Length 13.07
Num success 30/30 | Episode Length 16.50
Num success 30/30 | Episode Length 13.07
Num success 30/30 | Episode Length 14.77
Num success 30/30 | Episode Length 14.63
Num success 30/30 | Episode Length 16.27
Num success 29/30 | Episode Length 13.53
Num success 30/30 | Episode Length 13.27
Num success 28/30 | Episode Length 17.53
Num success 30/30 | Episode Length 13.50
Num success 29/30 | Episode Length 15.27
Num success 30/30 | Episode Length 14.93
Num success 30/30 | Episode Length 13.30
Num success 30/30 | Episode Length 13.43
Num success 30/30 | Episode Length 14.37
Num success 29/30 | Episode Length 14.67
Num success 30/30 | Episode Length 13.67
Num success 30/30 | Episode Length 15.27
Num success 30/30 | Episode Length 12.90
Num success 30/30 | Episode Length 12.77
Num success 30/30 | Episode Length 13.80
Num success 30/30 | Episode Length 13.20
Num success 29/30 | Episode Length 14.10
Num success 30/30 | Episode Length 14.20
Num success 30/30 | Episode Length 15.83
Num success 30/30 | Episode Length 12.47
Num success 30/30 | Episode Length 13.53
Num success 30/30 | Episode Length 13.53
Num success 29/30 | Episode Length 13.80
Num success 30/30 | Episode Length 13.13
Num success 30/30 | Episode Length 13.07
Num success 30/30 | Episode Length 15.97
Num success 30/30 | Episode Length 14.30
Num success 30/30 | Episode Length 15.10
